"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","Insert Inline Proposal",,,"1738000034913","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Insert Inline Proposal",,,,,
"X-Keystroke","i",,"2","1738000032095","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","m",,"3","1738000032208","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke","p",,"4","1738000032343","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","o",,"5","1738000032447","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"6","1738000032640","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","t",,"7","1738000032828","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke"," ",,"8","1738000033560","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","j",,"9","1738000033908","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke","a",,"10","1738000033984","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","v",,"11","1738000034072","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"v",,,,,
"X-Keystroke","a",,"12","1738000034215","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke",".",,"13","1738000034335","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"X-Keystroke","i",,"2","1738000032096","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","m",,"3","1738000032208","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke","p",,"4","1738000032343","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","o",,"5","1738000032447","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"6","1738000032640","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","t",,"7","1738000032828","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke"," ",,"8","1738000033560","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","j",,"9","1738000033908","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke","a",,"10","1738000033984","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","v",,"11","1738000034072","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"v",,,,,
"X-Keystroke","a",,"12","1738000034215","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke",".",,"13","1738000034335","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"X-Action","Enter",,,"1738000035243","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","28","1738000035246","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","i","","27","1738000035926","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"28","1738000035928","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","m","","28","1738000036030","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"29","1738000036040","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit","p","","29","1738000036078","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"30","1738000036085","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","o","","30","1738000036197","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"31","1738000036204","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","r","","31","1738000036286","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"32","1738000036295","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","t","","32","1738000036461","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"33","1738000036472","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","33","1738000036646","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"34","1738000036649","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","j","","34","1738000036750","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","j",,"35","1738000036752","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"File.Edit","a","","35","1738000036862","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"36","1738000036865","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","v","","36","1738000036934","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","v",,"37","1738000036939","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"v",,,,,
"File.Edit","a","","37","1738000037663","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"38","1738000037667","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit",".","","38","1738000037895","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",".",,"39","1738000037897","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"File.Edit","u","","39","1738000038102","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"40","1738000038114","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"u",,,,,
"File.Edit","t","","40","1738000038222","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"41","1738000038234","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"28","1738000035927","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","m",,"29","1738000036040","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke","p",,"30","1738000036085","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","o",,"31","1738000036204","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"32","1738000036295","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","t",,"33","1738000036472","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke"," ",,"34","1738000036649","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","j",,"35","1738000036752","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke","a",,"36","1738000036865","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","v",,"37","1738000036939","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"v",,,,,
"X-Keystroke","a",,"38","1738000037667","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke",".",,"39","1738000037897","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"X-Keystroke","u",,"40","1738000038114","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"u",,,,,
"X-Keystroke","t",,"41","1738000038234","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"42","1738000038325","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","l",,"43","1738000038370","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke",".",,"44","1738000038699","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"X-Keystroke","i",,"28","1738000035927","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","m",,"29","1738000036040","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke","p",,"30","1738000036085","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","o",,"31","1738000036204","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","r",,"32","1738000036295","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","t",,"33","1738000036472","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke"," ",,"34","1738000036649","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","j",,"35","1738000036752","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke","a",,"36","1738000036865","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","v",,"37","1738000036939","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"v",,,,,
"X-Keystroke","a",,"38","1738000037667","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke",".",,"39","1738000037897","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"X-Keystroke","u",,"40","1738000038114","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"u",,,,,
"X-Keystroke","t",,"41","1738000038234","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"42","1738000038325","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","l",,"43","1738000038370","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke",".",,"44","1738000038699","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"File.Edit","i","","41","1738000038317","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"42","1738000038325","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","l","","42","1738000038359","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"43","1738000038370","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit",".","","43","1738000038696","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",".",,"44","1738000038699","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"File.Edit","r","","44","1738000040400","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"45","1738000040417","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Action","Backspace",,,"1738000040662","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","r","44","1738000040665","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","R","","44","1738000040779","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","R",,"45","1738000040804","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"R",,,,,
"File.Edit","a","","45","1738000041215","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"46","1738000041226","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","r",,"45","1738000040417","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","R",,"45","1738000040804","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"R",,,,,
"X-Keystroke","a",,"46","1738000041226","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","n",,"47","1738000041517","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","d",,"48","1738000041631","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke","o",,"49","1738000041719","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","m",,"50","1738000041798","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke",";",,"51","1738000042223","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Keystroke","r",,"45","1738000040417","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","R",,"45","1738000040804","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"R",,,,,
"X-Keystroke","a",,"46","1738000041226","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","n",,"47","1738000041517","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","d",,"48","1738000041631","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke","o",,"49","1738000041719","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","m",,"50","1738000041798","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"X-Keystroke",";",,"51","1738000042223","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,";",,,,,
"File.Edit","n","","46","1738000041502","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"47","1738000041517","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","d","","47","1738000041622","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"48","1738000041631","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit","o","","48","1738000041711","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"49","1738000041719","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","m","","49","1738000041790","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"50","1738000041798","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit",";","","50","1738000042221","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",";",,"51","1738000042223","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,";",,,,,
"X-Action","Enter",,,"1738000047014","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","87","1738000047017","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","    ","","87","1738000047021","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","\","","91","1738000047041","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","\",,"92","1738000047042","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"\",,,,,
"X-Action","Enter",,,"1738000047181","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","    
","","93","1738000047186","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1738000047365","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","    
","","98","1738000047368","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1738000047565","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","101","1738000047569","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","   
","98","1738000047571","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1738000047717","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","96","1738000047721","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","   
","93","1738000047723","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1738000047862","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","\","91","1738000047863","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Enter",,,"1738000048333","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","    
","","92","1738000048335","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1738000048533","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","    
","","97","1738000048535","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Up",,,"1738000049174","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Keystroke","\",,"92","1738000047042","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"\",,,,,
"X-Keystroke","\",,"92","1738000047042","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"\",,,,,
"X-Keystroke","s",,"97","1738000109376","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke","t",,"98","1738000109511","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","a",,"99","1738000109635","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","t",,"100","1738000109981","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"101","1738000110093","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","c",,"102","1738000110191","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"c",,,,,
"X-Keystroke"," ",,"103","1738000110312","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","c",,"104","1738000110399","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"c",,,,,
"X-Keystroke","l",,"105","1738000110506","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","a",,"106","1738000110604","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","s",,"107","1738000110671","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke","s",,"108","1738000110847","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke"," ",,"109","1738000110921","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","N",,"110","1738000111326","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"N",,,,,
"X-Keystroke","o",,"111","1738000111446","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","d",,"112","1738000111537","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke","e",,"113","1738000111704","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke"," ",,"114","1738000111816","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","P",,"115","1738000111998","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"P",,,,,
"X-Keystroke","s",,"97","1738000109376","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke","t",,"98","1738000109511","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","a",,"99","1738000109635","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","t",,"100","1738000109981","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","i",,"101","1738000110093","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","c",,"102","1738000110191","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"c",,,,,
"X-Keystroke"," ",,"103","1738000110312","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","c",,"104","1738000110399","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"c",,,,,
"X-Keystroke","l",,"105","1738000110506","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","a",,"106","1738000110604","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","s",,"107","1738000110671","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke","s",,"108","1738000110847","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"s",,,,,
